protein,0min,5min,15min,30min,60min,120min
IPI00132478.1_1700021F05Rik_116,-1.182832984,1.307382118,-0.803885922,0.289265696,-0.541738905,0.931809997
IPI00123531.1_Zfp148_441,-0.38000951,0.926726325,0.242054275,0.28986591,-1.818464638,0.739827637
IPI00123531.1_Zfp148_438,-0.38000951,0.926726325,0.242054275,0.28986591,-1.818464638,0.739827637
IPI00229072.2_Pml_45,-0.615655212,1.29941301,-0.790816843,-1.035864706,0.032504469,1.110419282
IPI00272231.2_1110051M20Rik_322,-1.244367085,0.169503723,-0.317258648,-0.853450217,1.313169161,0.932403066
IPI00272231.2_1110051M20Rik_319,-1.603971738,-0.069245657,-0.597615647,0.33978966,1.172178358,0.758865024
IPI00830159.1_Rad23a_123,-1.053151218,-1.27048748,1.38358583,0.126037576,0.494267047,0.319748245
IPI00125662.2_Smarcc1_334,-1.19557723,0.932781718,0.512217792,-1.282833966,0.157182933,0.876228753
IPI00403827.2_Phldb2_510,-1.902992338,0.534303952,-0.175973857,0.203300916,0.424493456,0.916867871
IPI00416342.1_Gpatch2_15,-0.010333,0.709143455,-1.537032766,-0.397866771,-0.160506354,1.396595435
IPI00126883.1_Trps1_1085,-2.001963257,0.592754504,0.668592314,0.256991642,0.315223419,0.168401377
IPI00111789.2_Ldb1_302,-1.109512086,0.145597346,1.570291002,-0.959639585,-0.209803905,0.563067228
IPI00408171.4_5730419I09Rik_662,-1.870210029,0.188572029,1.043325179,-0.072943106,0.110715312,0.600540615
IPI00816914.1_Dock7_898,-1.245779147,1.776687188,-0.261533634,-0.200293632,-0.334967994,0.265887218
IPI00648927.1_Clta_206,-0.668236276,-1.344536009,-0.417518493,0.239617424,1.334522929,0.856150425
IPI00828218.2_Son_2027,-0.907571246,-0.348050871,1.633736874,-0.268213024,-0.863684886,0.753783154
IPI00828218.2_Son_2029,-0.907571246,-0.348050871,1.633736874,-0.268213024,-0.863684886,0.753783154
IPI00828218.2_Son_2031,-0.907571246,-0.348050871,1.633736874,-0.268213024,-0.863684886,0.753783154
IPI00758066.2_Ephb4_778,-1.915602499,0.609199902,0.475562813,-0.260092979,0.733172339,0.357760424
IPI00674192.4_C2cd3_453,-1.323558427,-0.414495859,-0.216615857,1.054283824,-0.419462434,1.319848753
IPI00329839.7_Ddx42_104,0.034974665,-0.446336198,-0.661280363,-0.595048943,-0.310180244,1.977871084
IPI00762316.3_Gnl1_55,-1.702980791,0.480442407,0.905459814,-0.238887234,-0.369148439,0.925114243
IPI00109334.2_Fer_408,0.205527831,1.054521721,-1.217789044,-0.697212415,-0.584156085,1.239107991
IPI00128975.3_Dap_51,-1.345933748,-1.057704506,0.479090777,0.095838753,0.632465478,1.196243246
IPI00126883.1_Trps1_1081,-1.99575165,0.545704649,0.619985745,0.048835379,0.273870412,0.507355465
IPI00844650.1_Pdgfra_1054,-1.80568775,-0.181023441,1.136464011,0.599015472,0.23695676,0.014274948
IPI00108978.4_Zmynd8_489,-0.577276835,-0.899196208,-0.11491889,-0.529997973,0.250156285,1.871233621
IPI00108978.4_Zmynd8_484,-0.577276835,-0.899196208,-0.11491889,-0.529997973,0.250156285,1.871233621
IPI00108978.4_Zmynd8_486,-0.577276835,-0.899196208,-0.11491889,-0.529997973,0.250156285,1.871233621
IPI00313513.6_Bmp2k_1013,-1.902406545,0.712337213,-0.066103032,0.162416488,0.197217141,0.896538736
IPI00313513.6_Bmp2k_1012,-1.902406545,0.712337213,-0.066103032,0.162416488,0.197217141,0.896538736
IPI00313513.6_Bmp2k_1010,-1.902406545,0.712337213,-0.066103032,0.162416488,0.197217141,0.896538736
IPI00111168.1_Cdk18_51,-1.276957427,-1.171412808,0.971772153,0.08970188,0.897217188,0.489679013
IPI00319858.1_Slc33a1_42,-1.376320082,-0.553398962,1.124354334,0.838651451,-0.661402896,0.628116155
IPI00131138.10_Flna_2327,-0.683640341,-1.020902697,-0.664925789,-0.093740652,1.177848422,1.285361057
IPI00112339.9_Lima1_225,-1.887513828,0.768691373,0.288669495,0.501045667,-0.313919174,0.643026467
IPI00223019.2_Apba1_267,-1.26623947,-0.81689116,-0.330056416,0.261631471,1.420264709,0.731290866
IPI00453603.1_Rps6kb1_441,-1.446717354,0.892219985,0.997939893,0.605401348,-0.20936572,-0.839478152
IPI00403055.1_Psmf1_189,-1.436091604,1.509900174,0.115360866,0.439217497,0.042308398,-0.670695331
IPI00230439.3_Hps5_463,-1.883343432,0.825994729,0.708381657,0.463297477,-0.211705465,0.097375034
IPI00230439.3_Hps5_461,-1.883343432,0.825994729,0.708381657,0.463297477,-0.211705465,0.097375034
IPI00620256.3_Lmna_19,-0.811003939,-1.629130391,0.555420606,0.448818921,0.989405835,0.446488969
IPI00677454.2_Cbx3_93,-0.926209974,-1.317171637,-0.221913763,0.527738391,1.286879815,0.650677168
IPI00762553.2_Dst_237,-0.837721423,-0.372450506,-0.40645337,-0.607356776,0.352922955,1.87105912
IPI00323887.5_Sp1_2,-0.29290384,0.045424505,-1.799487632,0.603217767,0.355875512,1.087873689
IPI00119242.1_Fnbp4_492,-1.482158973,0.089158354,0.471007263,-0.164839762,-0.44542935,1.532262468
IPI00119242.1_Fnbp4_489,-1.786232177,-0.369125911,0.052553674,0.448378965,0.602765289,1.05166016
IPI00377615.2_Phf3_1133,-1.62426849,0.315163494,0.501656057,1.056590926,0.532446813,-0.7815888
IPI00118923.2_Ppp1r11_114,-1.280233522,-0.831655814,-0.400559805,1.338751378,0.704883004,0.46881476
IPI00131533.1_Casp8_188,-1.700215575,-0.041663139,0.479112093,0.007462041,-0.110599804,1.365904383
IPI00112584.3_Camk2d_315,0.322744815,-1.451289308,-1.05287062,0.480932931,0.805843584,0.894638597
IPI00112584.3_Camk2d_319,0.322744815,-1.451289308,-1.05287062,0.480932931,0.805843584,0.894638597
IPI00830478.1_Fam120a_382,-1.758605775,-0.548473032,0.802940386,0.479952087,0.833758343,0.190427991
IPI00331555.2_Bckdha_348,-1.254231241,-1.301414215,0.411313392,0.597707046,0.699936288,0.84668873
IPI00330171.7_Bat2l2_613,-1.527005778,0.123297793,-0.13836999,1.604460351,0.138611574,-0.200993949
IPI00330171.7_Bat2l2_610,-1.527005778,0.123297793,-0.13836999,1.604460351,0.138611574,-0.200993949
IPI00654133.1_E130112L23Rik_1485,-1.648995636,-0.73625846,0.433001058,0.665654229,1.017787827,0.268810982
IPI00719890.2_Nfkb1_940,-2.015387169,0.47606899,0.284207891,0.163472634,0.481635239,0.610002415
IPI00915484.1_Prrx2_76,-1.758785829,0.16818212,-0.009130608,1.346372393,0.25608162,-0.002719697
IPI00915484.1_Prrx2_74,-2.025294748,0.422357057,0.270705849,0.424363229,0.618732949,0.289135663
IPI00915484.1_Prrx2_73,-1.519502539,-0.020922974,-0.175393972,1.616200595,0.196173532,-0.096554642
IPI00915484.1_Prrx2_70,-1.532603476,-0.031251067,-0.124271613,1.608901697,0.186247136,-0.107022678
IPI00135443.2_Top2b_1539,-0.873199819,-1.231082154,-0.448731873,0.47923377,1.302080162,0.771699913
IPI00459443.5_Tnks1bp1_1131,-1.670004442,-0.76382844,0.353582617,0.633886309,0.888763398,0.557600558
IPI00654417.1_Tinf2_380,-1.805602417,-0.348219251,0.593132076,0.808167514,0.782744824,-0.030222745
IPI00108783.1_Nf1_2545,-1.375230483,-1.013575925,0.026715802,0.471969057,0.755776994,1.134344555
IPI00280250.5_Sh3pxd2a_1029,-1.527917157,-0.817166091,1.016709438,-0.050363245,0.615151724,0.763585331
IPI00420602.3_Nup188_1718,-1.842922239,-0.29022646,0.553124234,0.430659707,0.146037802,1.003326956
IPI00620256.3_Lmna_653,-1.284412648,-0.862294577,-0.071800371,0.145356753,0.572101994,1.501048848
IPI00677454.2_Cbx3_97,-1.553629411,-0.934180962,0.424165519,0.446367622,0.923938915,0.693338318
IPI00474558.7_Nup98_79,-1.628031511,-0.15283965,0.935539,0.933776796,0.492000532,-0.580445167
IPI00323446.3_Gem_22,-0.275033601,-0.677025329,-0.467972039,-0.635577335,0.097676716,1.957931588
IPI00474558.7_Nup98_21,-1.673191804,-0.693175573,0.19939814,0.595407774,0.998811319,0.572750144
IPI00667973.3_Cep170_1008,-1.902465763,0.128929081,0.02767949,0.100846891,0.826725289,0.818285011
IPI00480372.3_Ppfibp1_972,-1.827109781,-0.465835527,0.753904272,0.361809214,0.750560611,0.426671211
IPI00480372.3_Ppfibp1_968,-1.827109781,-0.465835527,0.753904272,0.361809214,0.750560611,0.426671211
IPI00128425.3_Gorasp1_376,-1.784424867,-0.588289891,0.543950291,0.421417016,0.758241375,0.649106075
IPI00119063.2_Lrp1_4521,-1.667151787,-0.514761263,0.119619467,0.341765502,0.445291243,1.275236838
IPI00323887.5_Sp1_7,-0.651790187,-0.032894641,-0.948662658,-0.268126363,0.003521662,1.897952188
IPI00129927.7_Mcc_359,-1.980525657,0.606414892,-0.008807855,0.260351385,0.484341822,0.638225412
IPI00625898.3_Bbx_479,-1.672834935,-0.659962573,0.569407213,0.970499549,0.701109834,0.091780912
IPI00625898.3_Bbx_476,-1.684418451,-0.627405261,0.579598455,1.026316377,0.608575029,0.097333851
IPI00331076.4_Slk_341,-1.427213184,-0.839408532,-0.205411328,1.000289831,0.47831749,0.993425722
IPI00885322.1_Mllt4_1802,-2.003661332,0.620617368,0.255107472,0.645686429,0.210286754,0.271963311
IPI00352526.4_Fam53a_180,-1.381431844,-0.975477051,0.251318879,0.101378022,0.831490865,1.172721128
IPI00322415.4_Dennd1a_520,-2.014233165,0.452063419,0.492983336,0.105017328,0.383010825,0.581158258
IPI00228955.6_Stat3_727,-1.908779773,0.679318265,0.605507978,0.644826858,0.226657238,-0.247530566
IPI00466384.6_8030462N17Rik_69,-1.639916437,-0.750785351,0.754717344,0.257152361,0.405972154,0.972859929
IPI00677454.2_Cbx3_99,-0.86807904,-1.331374314,0.136650753,0.067429248,0.518153737,1.477219615
IPI00331076.4_Slk_344,-1.970342468,0.078610246,0.106280034,0.597827482,0.456605167,0.731019538
IPI00459443.5_Tnks1bp1_692,-1.736771781,-0.321448899,0.846115185,0.932757597,0.496975727,-0.21762783
IPI00331708.3_Mkl1_487,-1.553186666,-0.687707227,-0.242305317,0.843334065,0.810797757,0.829067389
IPI00331708.3_Mkl1_484,-1.765403053,-0.071462887,-0.352678055,0.965868382,0.42174497,0.801930642
IPI00465879.2_Zc3hc1_337,-1.735973886,-0.211084633,0.04511417,0.073926347,1.276991536,0.551026467
IPI00110050.2_Cdk11b_47,-1.05338077,-0.714279982,-0.364318193,-0.153386324,0.589288227,1.696077043
IPI00469947.2_Lnp_411,-1.966168394,0.12044856,0.058267263,0.611553462,0.428400312,0.747498798
IPI00119986.1_Bad_112,-1.90993541,-0.29852545,0.464334336,0.43225274,0.64985145,0.662022335
IPI00928579.1_Fam131b_341,-2.02249334,0.154450029,0.528478546,0.515979042,0.434099948,0.389485775
IPI00762331.2_Cobll1_1092,-1.508887313,-0.570763365,0.37698221,-0.000258146,0.216879554,1.48604706
IPI00165688.2_Slc23a2_81,-1.730399184,-0.631708101,0.371115665,0.350018753,0.816771469,0.824201397
IPI00896060.1_Trappc9_953,-1.697300441,-0.746258639,0.460919517,0.722630001,0.760036107,0.499973455
IPI00459443.5_Tnks1bp1_1657,-1.814029106,-0.447705959,0.463049014,0.887573773,0.669557767,0.241554511
IPI00125960.1_Ndrg1_2,-0.851851192,-0.933680776,-0.245653937,-0.19221875,0.466128274,1.757276382
IPI00671847.3_Ppp1r12a_507,-1.815661855,0.7945738,0.83552392,0.447463934,0.133061995,-0.394961794
IPI00221581.1_Eif4b_425,-1.671012301,-0.774828996,0.444438288,0.502191176,0.879641459,0.619570375
IPI00890880.1_Nab2_209,-1.885737284,-0.266413652,0.625862799,0.689185253,0.139295747,0.697807137
IPI00762331.2_Cobll1_1059,-1.44635036,-0.932401235,-0.001053486,0.522357939,0.785921777,1.071525365
IPI00465879.2_Zc3hc1_334,-1.310183254,-1.058359999,0.281937521,0.050326278,0.954675384,1.08160407
IPI00465879.2_Zc3hc1_340,-1.368644112,-0.974961379,0.267186872,0.029216956,0.958394133,1.088807529
IPI00465761.5_Arhgef17_516,-1.914530019,-0.250937197,0.298761373,0.531160954,0.732483098,0.603061791
IPI00312414.4_Pkn2_582,-1.465814715,-1.028471332,0.267767763,0.538808267,0.782873605,0.904836413
IPI00331515.2_Nfix_270,-1.970207866,0.415548455,0.790363939,0.543301083,0.136284433,0.084709956
IPI00625898.3_Bbx_477,-1.770195301,-0.512605807,0.256424696,0.608229517,0.424137661,0.994009233
IPI00109676.6_Phf8_984,-2.025565531,0.336443151,0.523725487,0.227955964,0.373221165,0.564219762
IPI00676243.2_Mtap1a_1886,-1.384640028,-0.972373026,-0.038674763,0.474805471,0.779565215,1.141317131
IPI00417158.1_Smg6_483,-1.850592084,-0.414075137,0.630252512,0.480832414,0.811372288,0.342210007
IPI00675197.3_Tbc1d4_616,-2.027162462,0.231663972,0.48647974,0.351149404,0.38349131,0.574378037
IPI00675197.3_Tbc1d4_620,-2.026945629,0.215967352,0.46898794,0.334611008,0.451112336,0.556266993
IPI00675197.3_Tbc1d4_624,-2.025326944,0.230587707,0.454538262,0.349919113,0.382219329,0.608062533
IPI00469184.1_Synm_778,-1.445874676,-0.816904769,-0.118118478,0.329768638,0.93654774,1.114581545
IPI00229305.1_Sik2_358,-1.934806725,0.32310727,-0.164015316,0.373117625,0.666893153,0.735703993
IPI00467933.2_2310021P13Rik_48,-1.789604419,0.103816071,0.659100401,-0.145632763,0.018820913,1.153499797
IPI00857417.1_Med24_879,-2.014867603,0.376825078,0.503074008,0.556344372,0.474117286,0.104506859
IPI00753321.2_Bod1l_2888,-1.927063321,0.318231991,-0.018306442,0.116138058,0.633491428,0.877508287
IPI00918646.1_Arpp19_137,-2.018337454,0.426621329,0.16054808,0.462573119,0.351123661,0.617471264
IPI00752108.1_Ctnnd1_859,-1.632575902,-0.750297677,0.316188209,0.288993841,0.824957942,0.952733587
IPI00381160.3_Tmem63b_111,-1.950945224,0.031324253,0.747839246,0.694538037,0.102049275,0.375194413
IPI00381160.3_Tmem63b_115,-1.973717095,0.009146758,0.70240874,0.649555041,0.279713973,0.332892583
IPI00280103.3_Micall2_122,-1.603692258,-0.710168114,0.071204056,0.396622343,0.753411007,1.092622965
IPI00135443.2_Top2b_1563,-1.344211189,-0.963418381,-0.158661345,0.490302503,0.834556539,1.141431872
IPI00556837.1_Smarcad1_79,-1.833557877,-0.468333647,0.39615782,0.488390122,0.611636329,0.805707253
IPI00115648.1_Errfi1_251,-0.744181455,-0.810565203,0.455428013,-0.747012739,0.110987905,1.735343479
IPI00274186.8_Arrb1_412,0.493732059,1.473328718,0.145387274,0.142673052,-1.10253567,-1.152585433
IPI00465812.2_Epb4.1l1_650,0.617389985,1.23202944,0.511850438,-0.443304222,-0.325292257,-1.592673384
IPI00890038.2_Syne1_8225,1.097849304,-0.917788906,0.851127486,-0.437752243,0.667715297,-1.261150938
IPI00676243.2_Mtap1a_2320,1.585194115,0.116579297,0.344528448,-0.238125886,-1.480028486,-0.328147488
IPI00125861.2_Dlg1_699,1.521882877,0.72743249,-1.181710824,-0.041799765,-0.852305592,-0.173499187
IPI00828218.2_Son_2147,1.911279244,-0.040738808,-0.434290216,-0.694443092,0.075948701,-0.817755829
IPI00608040.1_Hdgfrp3_177,1.146557029,0.813974652,0.599756306,-0.666396076,-0.485617653,-1.408274258
IPI00608040.1_Hdgfrp3_178,0.835046383,1.167349593,0.340779749,-0.803726557,-0.065120661,-1.474328508
IPI00608040.1_Hdgfrp3_179,0.715701731,0.730888569,0.958290384,-0.86509989,-0.027801385,-1.511979409
IPI00224200.1_Iws1_306,1.903108729,0.199666834,-0.855900111,-0.407655571,-0.210543859,-0.628676023
IPI00224200.1_Iws1_307,1.903108729,0.199666834,-0.855900111,-0.407655571,-0.210543859,-0.628676023
IPI00224200.1_Iws1_309,1.903108729,0.199666834,-0.855900111,-0.407655571,-0.210543859,-0.628676023
IPI00458039.3_Mdn1_4747,1.864592818,0.166461139,-0.253520352,-0.295972391,-1.091636898,-0.389924315
IPI00458039.3_Mdn1_4749,1.864592818,0.166461139,-0.253520352,-0.295972391,-1.091636898,-0.389924315
IPI00620256.3_Lmna_546,0.169538902,-0.254753891,-0.83366585,-0.500990649,1.924914985,-0.505043497
IPI00126389.2_Fxr2_568,1.477719972,0.115635717,-0.55717196,-1.521088616,0.417458904,0.067445982
IPI00751009.1_Srpk2_333,1.474292244,-0.75452788,0.985885141,-0.244596519,-1.011609379,-0.449443607
IPI00751009.1_Srpk2_332,1.474292244,-0.75452788,0.985885141,-0.244596519,-1.011609379,-0.449443607
IPI00131130.1_Trim24_1026,1.792531176,0.323728225,-0.17710306,-0.140596591,-0.981409454,-0.817150295
IPI00131130.1_Trim24_1029,1.792531176,0.323728225,-0.17710306,-0.140596591,-0.981409454,-0.817150295
IPI00123871.2_Ncor2_549,0.621903196,1.313105584,-0.646658329,-0.478712064,0.57341921,-1.383057597
IPI00123871.2_Ncor2_550,0.222407007,1.747737557,-0.130943142,-1.116759252,0.069295974,-0.791738144
IPI00116331.1_Sgta_82,-0.445971365,-0.533215613,0.293834392,-1.348916146,1.537592143,0.49667659
IPI00849284.3_Gcfc1_264,1.051032819,-0.062393014,-0.219816168,-1.531697106,1.157978423,-0.395104955
IPI00453512.3_Alkbh5_70,0.273410147,1.085244982,-0.46697246,-1.336158243,1.129246282,-0.684770709
IPI00120919.4_Ctr9_941,0.596908609,-0.367247234,-0.040631355,1.363036374,0.073924294,-1.625990688
IPI00120919.4_Ctr9_943,0.596908609,-0.367247234,-0.040631355,1.363036374,0.073924294,-1.625990688
IPI00116444.1_Zfp639_60,0.76241633,-1.412957989,0.692770932,-1.073344461,0.875190671,0.155924517
IPI00858099.1_Chd8_1422,-0.011009462,1.348845956,1.03247531,-0.762221565,-0.457253187,-1.150837052
IPI00858099.1_Chd8_1426,-0.011009462,1.348845956,1.03247531,-0.762221565,-0.457253187,-1.150837052
IPI00115426.1_Cdc26_41,-0.27912656,-0.303818664,2.002582904,-0.168208351,-0.562025711,-0.689403617
IPI00229801.5_Trp53bp1_654,1.189798797,-0.352384482,-1.455103673,-0.600290212,0.955970939,0.262008632
IPI00351206.5_Pgrmc2_205,-0.258447299,-0.534383362,-0.383266194,-0.905336251,1.911041442,0.170391664
IPI00670928.3_Camsap1l1_1137,0.045487677,1.090315982,0.929718481,0.096893329,-1.627722523,-0.534692945
IPI00929847.1_Fkbp15_1159,0.542890142,-0.436780884,-0.863193155,-0.477328049,1.796116877,-0.56170493
IPI00453512.3_Alkbh5_65,0.281186141,-1.59985089,-0.499394029,0.68882703,1.27170577,-0.142474022
IPI00128285.1_Ndufv3_163,-0.509675664,1.498096782,-1.416793125,-0.390794547,0.423666777,0.395499777
IPI00336715.2_Riok1_24,0.592605333,1.278290673,0.517477838,-0.087407088,-0.935838834,-1.365127921
IPI00605037.1_Srrm1_463,-0.755781699,-0.19326569,1.79484454,0.064986449,0.157384201,-1.0681678
IPI00229787.3_Rnaseh2a_258,1.020690873,1.050685467,0.131193802,0.163998213,-1.253355835,-1.11321252
IPI00654990.2_Arid4a_545,-0.116438357,1.433378076,-0.661263075,-1.064767707,1.003667714,-0.594576651
IPI00458702.2_Phf23_74,0.393748321,1.187382531,0.159008778,0.154634374,-1.839240448,-0.055533557
IPI00400168.2_Nexn_16,0.40939272,-1.366720407,0.809703738,0.180472578,-1.083134894,1.050286265
IPI00417155.1_Eif4g3_481,0.996061737,-1.504580248,0.363876109,-0.866471801,0.92373417,0.087380033
IPI00224200.1_Iws1_343,-0.850177793,-0.789358386,-0.138854796,-0.673358916,0.92932865,1.522421241
IPI00224200.1_Iws1_345,-0.850177793,-0.789358386,-0.138854796,-0.673358916,0.92932865,1.522421241
IPI00221566.3_Htatsf1_724,-0.191773633,-0.410345101,-0.924172978,1.382043678,-0.932937077,1.07718511
IPI00353237.8_Tns3_332,-0.100257991,-0.64937618,-1.255446554,-0.378965309,1.249730934,1.1343151
IPI00378156.2_Rabgap1_991,0.374934451,-0.878453043,-0.093310973,-0.250622199,1.775971928,-0.928520165
IPI00280250.5_Sh3pxd2a_566,0.251387081,0.142947952,-1.753098076,-0.239123323,0.294355642,1.303530724
IPI00133700.2_Vps4b_102,0.952981575,1.166036077,-0.381472875,-1.495443602,0.279577903,-0.521679077
IPI00128905.1_Golm1_213,-0.24799549,0.078647956,1.940973854,-0.309517517,-0.742258531,-0.719850271
IPI00308391.5_Zfp592_1198,0.776742186,-1.86913841,0.076779851,-0.263328874,0.709848295,0.569096952
IPI00308391.5_Zfp592_1202,0.776742186,-1.86913841,0.076779851,-0.263328874,0.709848295,0.569096952
IPI00130591.2_Ilf3_80,-0.701320916,-0.484708187,-1.166280068,0.602426081,1.588746543,0.161136547
IPI00828976.1_Tmpo_183,0.081996451,1.456981727,0.656439037,-1.301926847,-0.862312619,-0.031177749
IPI00118018.5_Ehbp1l1_191,0.05191411,0.422711178,1.085334571,0.397895759,-1.863729682,-0.094125935
IPI00121562.1_Wdr12_221,-0.643143887,0.166523663,1.900373916,-0.04944146,-0.701356079,-0.672956153
IPI00311761.3_Kri1_148,0.283346181,1.200946592,0.789754547,-0.029118584,-0.714402135,-1.530526601
IPI00320594.5_Ranbp10_518,0.367990697,-1.111179243,0.028581338,-1.259954176,0.772669663,1.201891722
IPI00122038.2_Ddx27_25,-1.09049385,-0.343644661,0.003572908,-0.475629897,1.861311465,0.044884035
IPI00652110.1_Brd4_603,0.850098273,0.231315477,-1.987300911,0.313864273,0.314784192,0.277238695
IPI00798468.1_Usp9x_1600,-0.878804187,0.610398125,-1.141357003,0.107253808,-0.268705415,1.571214671
IPI00123183.3_Aqp1_247,-1.740252378,0.595068369,0.884444251,-0.266619217,0.822711737,-0.295352761
IPI00785240.1_Srrm2_1340,-0.888086603,-0.277908611,-0.460376001,1.929612036,0.124733367,-0.427974188
IPI00308332.5_Armcx3_61,0.41571586,-1.119261992,-0.501102962,-0.358555288,-0.211615527,1.77481991
IPI00225621.2_Yipf6_7,-0.170107721,0.583079413,-0.74655657,1.476832755,-1.35876821,0.215520333
IPI00649422.1_Luc7l3_425,0.63624237,0.095111873,-0.912694596,-0.781984945,-0.675411178,1.638736476
IPI00758139.1_Chd9_610,-1.586177542,0.014041808,1.010941191,0.851079185,-0.734641062,0.444756421
IPI00758139.1_Chd9_611,-1.586177542,0.014041808,1.010941191,0.851079185,-0.734641062,0.444756421
IPI00758139.1_Chd9_615,-1.586177542,0.014041808,1.010941191,0.851079185,-0.734641062,0.444756421
IPI00311490.4_Phip_881,0.217067703,0.683286597,0.697598337,-1.596744045,-0.852004709,0.850796116
IPI00311490.4_Phip_879,0.371362519,0.02000044,0.881287516,-1.553401244,-0.763105731,1.0438565
IPI00311490.4_Phip_880,0.371362519,0.02000044,0.881287516,-1.553401244,-0.763105731,1.0438565
IPI00918423.1_Kif1c_676,0.142178085,1.339192328,-0.739769232,-1.073967196,-0.679527245,1.01189326
IPI00918423.1_Kif1c_674,0.142178085,1.339192328,-0.739769232,-1.073967196,-0.679527245,1.01189326
IPI00453692.4_Nes_1541,-0.106270872,-0.538356875,1.985973722,-0.4563979,-0.720791448,-0.164156626
IPI00113746.3_U2af2_2,-0.724299349,-0.756766104,-0.826416303,-0.212301837,1.258332907,1.261450687
IPI00341869.5_Nucks1_54,-0.791806884,1.74778752,-0.806376184,-0.005912687,0.501599612,-0.645291376
IPI00856588.1_Hdac5_620,-0.658162488,-1.004643818,-0.046416832,-0.169521962,1.877929726,0.000815374
IPI00468516.3_D6Wsu116e_157,-0.167048324,-0.606443569,-1.365137311,-0.186246115,1.120539333,1.204335985
IPI00468516.3_D6Wsu116e_159,-0.167048324,-0.606443569,-1.365137311,-0.186246115,1.120539333,1.204335985
IPI00128285.1_Ndufv3_165,-1.973913314,0.345857566,0.57540727,0.026062212,0.763629235,0.262957031
IPI00396753.2_Fam171a2_785,0.329326587,-1.075572739,0.913830194,-0.286985722,-1.125649841,1.245051521
IPI00649422.1_Luc7l3_431,-0.161095208,-0.007964574,-0.526462712,-0.626414949,-0.648738674,1.970676117
IPI00378156.2_Rabgap1_987,-1.317538206,0.267071085,1.115059846,0.979617834,-0.993575695,-0.050634865
IPI00750042.1_Brwd1_1810,0.085840402,-1.846738318,-0.22448332,0.365402185,0.602490819,1.017488233
IPI00750042.1_Brwd1_1812,0.085840402,-1.846738318,-0.22448332,0.365402185,0.602490819,1.017488233
IPI00474721.1_Ddx54_774,-1.014839721,0.772383366,-0.96070275,-0.724610591,0.780355566,1.14741413
IPI00849568.1_Zzef1_2407,-1.10231562,-1.029694209,0.940837541,1.010556329,0.723521876,-0.542905917
IPI00387439.3_Sdad1_585,-0.508106623,-1.509337095,0.17523462,-0.285404222,0.853809953,1.273803367
IPI00120301.1_Tmem45a_269,-0.142736491,1.595357216,0.257809429,-0.198724499,-1.525877998,0.014172342
IPI00153284.2_Bud13_341,-0.770680841,0.219802402,1.752626292,-1.061463363,-0.343541848,0.203257359
IPI00153284.2_Bud13_344,-0.770680841,0.219802402,1.752626292,-1.061463363,-0.343541848,0.203257359
IPI00229859.1_Eif3b_143,0.679168111,0.506245531,-1.142510912,-0.955200793,-0.451750336,1.364048399
IPI00881462.1_Fip1l1_495,-0.449870466,1.128586807,0.364084711,-0.529994319,-1.476848235,0.964041503
IPI00340860.5_Larp7_256,-1.399794803,-0.649594617,0.603320958,-0.404416885,1.360503594,0.489981753
IPI00340860.5_Larp7_253,-0.984521087,-0.545870786,0.306420595,-0.676137716,1.77965694,0.120452054
IPI00462445.2_Nedd4_16,-1.177535682,0.268194404,0.579167279,-0.292047747,-0.898677311,1.520899058
IPI00311490.4_Phip_1783,0.258517829,-1.320549723,0.262678384,-0.805999854,0.033878415,1.571474949
IPI00845761.2_Chd2_207,-0.56211,-0.05010803,1.91152038,-0.025465732,-0.965272541,-0.308564077
IPI00845761.2_Chd2_208,-0.56211,-0.05010803,1.91152038,-0.025465732,-0.965272541,-0.308564077
IPI00828976.1_Tmpo_179,-0.058418597,0.411621525,0.530410771,0.358568981,-1.971228145,0.729045465
IPI00654990.2_Arid4a_541,-0.890623525,0.133065894,1.478085657,-0.832435718,-0.751862688,0.86377038
IPI00331155.4_Adrm1_405,-0.283711147,-0.476286936,-0.584769962,-0.634471947,-0.007739696,1.986979687
IPI00785240.1_Srrm2_1498,-1.650238326,-0.594427667,0.360004503,0.787375435,0.013952671,1.083333384
IPI00785240.1_Srrm2_1497,-1.224647116,-1.245116139,0.228581415,0.567555975,0.540971572,1.132654294
IPI00341869.5_Nucks1_73,-0.954306535,0.797899353,-0.754147909,-0.923558159,0.499341884,1.334771367
IPI00341869.5_Nucks1_79,-0.728185631,-0.892852841,-0.463804493,-0.340277779,0.764759854,1.66036089
IPI00341869.5_Nucks1_75,-0.62758605,-0.804377076,0.006592357,-0.451948982,-0.059500234,1.936819984
IPI00116331.1_Sgta_305,-0.485107488,-0.814349605,0.452929186,0.915088704,-1.270529356,1.20196856
IPI00461381.4_Peg10_30,-1.753608656,-0.633425467,0.706786592,0.686069739,0.669128345,0.325049447
IPI00896672.1_Prpf4b_88,0.334871697,0.234232464,1.574220288,0.026468473,-1.092812911,-1.076980011
IPI00896672.1_Prpf4b_94,0.334871697,0.234232464,1.574220288,0.026468473,-1.092812911,-1.076980011
IPI00459742.2_Smarcc2_283,1.041622952,0.482388628,-0.004253081,-0.066861735,-1.871520379,0.418623615
IPI00673693.1_Zc3h18_45,-1.233862728,0.031020132,0.330193863,-1.001400123,0.385317637,1.48873122
IPI00349032.2_Asap1_741,-1.083077088,-0.558982983,0.90020223,1.267956941,0.429053425,-0.955152525
